key_01,0.055698,0.7541,113.7686,10943.6338,16952.2705,0.99159,0.39849,G# maj,0.065567,4,ちりんちりん,鍵,undefined
keyboard_01,0.044473,0.8,undefined,5373.6501,13016.6016,0.92059,0.49378,B min,-0.050073,9,ちきっ,キーボード,undefined
keyboard_02,0.033541,0.58715,176.0019,2940.1478,12113.4338,0.90802,0.48515,C maj,0.0013233,8,かちゃかちゃ,キーボード,undefined
kick_01,0.55133,0.33333,unundefinedd,467.3184,7151.3672,0.59121,0.36446, A# min,-0.11831,2,どん,キック,蹴る
lighter_01,0.04401,0.78462,175.5745,2148.5871,10393.1351,0.96355,0.4928,G# maj,0.1356,7,ちっ,ライター,undefined
magic_tape_01,0.067099,0.5,undefined,5419.823,11442.2058,0.82438,0.49646,D min,-0.17197,9,びりっ,マジックテープ,undefined
match_04,0.033642,0.625,195.6905,3303.0792,8696.0495,0.69304,0.49758,D min,-0.22115,9,じゅー,マッチ,火
money_box_01,0.037335,0.78378,166.8946,2842.1388,14745.5338,0.8874,0.47332,D min,-0.091336,9,ちゃりん,貯金箱,お金
motor_01,0.14976,0.475,161.7967,5437.053,11609.0881,0.98997,0.47485,G# min,-0.068149,5,うぃーん,モーター,undefined
noise_01,0.042503,0.5736,133.3488,164.1756,13021.8681,0.64237,0.4286,B min,-0.069407,8,ぶー,ノイズ,undefined
opening_01,0.040156,0.7027,156.293,1158.0543,13074.4629,0.7489,0.48354,G# maj,0.013816,8,がっちゃん,レンジ,開閉
opening_02,0.064575,0.7619,83.9449,715.5872,10127.5635,0.45724,0.48098,A maj,0.11857,7,がちゃん,冷蔵庫,開閉
opening_04,0.026958,0.82609,98.4274,1284.8082,11102.7832,0.75589,0.48326,G min,-0.059196,9,ぎいーん,オーブン,開閉
opening_05,0.037552,0.8125,101.2416,557.9309,8165.7715,0.40513,0.43853,A min,-0.08801,6,とん,炊飯器,フタ
opening_06,0.028373,0.65306,107.714,1718.9776,11115.1703,0.71839,0.46739,F min,-0.13811,9,しゃっしゃっ,ビン,フタ
opening_08,0.075544,0.775,143.3022,2284.8623,12232.9102,0.56328,0.46556,C# min,-0.18216,9,すーこん,引き出し,undefined
paper_01,0.09334,0.45,undefined,9395.4878,14537.1094,0.9594,0.50042,E min,-0.1569,5,しゃー,紙,破る
paper_03,0.024374,0.52047,117.189,5332.0829,12946.3337,0.86692,0.49505,E maj,0.1533,5,ぐしゃぐしゃ,紙,丸める
paper_07,0.026648,0.65714,142.9259,3045.5616,10469.9707,0.78917,0.4753,C# maj,0.035434,8,ぺらっ,紙,めくる
phoning_01,0.30425,0.48454,112.6022,3200.375,2367.9794,0.33006,0.42167,B min,-0.0048458,2,ぴぽぱぽ,操作音,電話
phoning_03,0.16373,0.49999,60.0064,1062.6692,2817.7374,0.39598,0.24447,G min,-0.098446,1,つーつー,不通音,電話
phoning_04,0.087714,0.62345,166.0526,4576.712,3230.072,0.7512,0.43847,G min,-0.047236,6,ぷるるる,呼び出し音,電話
polishing_01,0.056166,0.77273,77.1784,1097.4819,2473.2903,0.25893,0.32592,D# maj,0.00086705,3,きゅっきゅっ,ガラス,磨く
pot_01,0.048719,0.82609,undefined,2551.6716,7734.375,0.69814,0.42026,B maj,0.11843,7,かちゃん,ポット,開ける
pouring_01,0.054111,0.5858,168.8679,3536.3003,14794.5557,0.66726,0.42379,C maj,0.070603,8,じょろじょろ,飲み物,注ぐ
